Timestamp,"At work, I IDENTIFY as....","On a REGULAR basis, my primary team includes...",I MOSTLY work...,I MOSTLY meet with my primary team...,My ROLE in my primary team's meetings is generally...,I meet with my primary work team...,My primary team's meetings START on time (within 7min of scheduled time)...,"Before our team meetings officially start, I usually....","On a scale of 1-5, I enjoy pre-meeting preamble....","On a scale of 1-5, I feel like I am USUALLY my full, candid self during team meetings...","On a scale of 1-5, I feel like my teammates are USUALLY fully candid with each other during team meetings...",Our meetings END on time...,"On a scale of 1-5, how satisfied are you with your regular work meetings?","Do you ever share casual time with your teammate(s)? [select all]

AM coffee/beverage","Do you ever share casual time with your teammate(s)? [select all]

breakfast","Do you ever share casual time with your teammate(s)? [select all]

lunch","Do you ever share casual time with your teammate(s)? [select all]

PM coffee","Do you ever share casual time with your teammate(s)? [select all]

dinner","Do you ever share casual time with your teammate(s)? [select all]

happy hour",How often do you share casual time with your teammate(s)?,"On a scale of 1-5, I enjoy sharing casual time with my teammate(s)..."
2/18/2016 22:37:10,female,2,onsite at my organization's office,by phone or conference call,I am the only meeting leader,7,5,chit-chat about non-business topics,4,4,3,4,4,0,0,0,0,0,0,1,4
2/19/2016 9:26:52,female,2,wherever I want,in-person at my organization's office,I am not a meeting leader and I DO NOT help set the agenda,5,4,chit-chat about non-business topics,3,3,3,4,4,0,0,0,0,0,0,6,4
2/19/2016 13:14:13,female,2,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,7,4,It's different. I personally prefer to have some small talk before about non-business topics,3,4,3,3,3,0,0,0,0,0,0,1,5
2/19/2016 14:46:50,female,2,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader and I DO NOT help set the agenda,5,3,sit silently and/or continue working individually,2,1,4,4,3,0,0,0,0,0,0,4,4
2/20/2016 1:04:00,male,2,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,7,4,chit-chat about business topics,3,4,4,4,3,0,0,0,0,0,0,2,4
2/20/2016 10:17:50,male,2,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,7,4,chit-chat about non-business topics,3,4,3,3,2,0,0,0,0,0,0,3,4
2/20/2016 18:47:50,female,2,onsite at my organization's office,by video,I am one of several meeting leaders,8,4,chit-chat about business topics,3,4,3,4,4,0,0,0,0,0,0,4,5
2/21/2016 6:49:59,female,2,onsite at my organization's office,by phone or conference call,I am one of several meeting leaders,8,5,chit-chat about non-business topics,4,3,3,4,3,0,0,0,0,0,0,6,4
2/21/2016 10:11:17,male,2,onsite at my organization's office,by phone or conference call,I am not a meeting leader but I DO help set the agenda,6,5,sit silently and/or continue working individually,3,4,4,4,3,0,0,0,0,0,0,4,3
2/22/2016 7:32:25,male,2,at home,by video,I am one of several meeting leaders,8,4,sit silently and/or continue working individually,3,4,4,3,2,0,0,0,0,0,0,7,4
2/22/2016 20:29:45,male,2,onsite at my organization's office,in-person at my organization's office,There are no assigned meeting leaders,3,2,chit-chat about non-business topics,4,4,3,2,1,0,0,0,0,0,0,2,4
2/23/2016 2:26:34,female,2,onsite at my organization's office,in-person at my organization's office,I am one of several meeting leaders,6,5,chit-chat about business topics,3,3,3,4,3,0,0,0,0,0,0,4,3
2/23/2016 11:17:53,male,2,onsite at my organization's office,by video,I am the only meeting leader,7,4,chit-chat about non-business topics,4,5,4,4,4,0,0,0,0,0,0,1,5
2/23/2016 11:23:29,male,4,onsite at my organization's office,by video,There are no assigned meeting leaders,8,3,chit-chat about business topics,4,3,2,3,3,0,0,0,0,0,0,2,4
2/23/2016 11:45:21,male,1,onsite at my organization's office,by video,I am not a meeting leader but I DO help set the agenda,8,4,chit-chat about business topics,3,5,2,2,1,0,0,0,0,0,0,7,4
2/24/2016 18:43:20,female,2,onsite at my organization's office,in-person at my organization's office,I am not a meeting leader but I DO help set the agenda,7,3,chit-chat about business topics,2,3,3,2,1,0,0,0,0,0,0,2,5
2/26/2016 22:05:33,female,2,onsite at my organization's office,in-person at my organization's office,There are no assigned meeting leaders,8,5,chit-chat about non-business topics,2,4,3,5,2,0,0,0,0,0,0,2,5
